Respondent_ID,"Your affiliation with institute?
(batch or program, in case of students)",Which area(s)/field(s) are you interested in?,How many merch do you buy per year?,Which type of merchandise are you most interested in purchasing?,What theme or concept should the merch design revolve around?,"If you could only buy one item of merch next semester, which specific product would it be?",Is there an item you’ve always wanted to see in IISERM but no club/community has ever released?,Which material/fabric do you prefer for apparel items (T-shirts/Hoodies)?,Please rate the importance of the following design elements for the apparel: [Subtle/Small Design],Please rate the importance of the following design elements for the apparel: [Bold/Large Design],Please rate the importance of the following design elements for the apparel: [Inclusion of 'IISER Mohali' or related logo],Please rate the importance of the following design elements for the apparel: [Inclusion of Club/Event or related logo],Please rate the importance of the following design elements for the apparel: [Hero design (main) on the front (in case of clothing)],Please rate the importance of the following design elements for the apparel: [Any design on the front (in case of clothing)],Please rate the importance of the following design elements for the apparel: [Hero design (main) on the back (in case of clothing)],Please rate the importance of the following design elements for the apparel: [Any design on the back (in case of clothing)],Please rate the importance of the following design elements for the apparel: [Design on the sleeve (in case of clothing)],What specific size range are you most likely to purchase for apparel (T-shirts/Hoodies)?,"What is the price you would be willing to pay for a ""good"" Sweatshirt?","What apparel/clothing do you look for other than conventional T-shirts, hoodies, and sweatshirts as merch?",What would you prefer carrying your laptop in?,Which color scheme do you prefer for the merchandise?,What desk/stationary item do you suggest?,What tech accessory do you suggest?,What Turing-specific plushie(s) do you prefer?,What plushie(s) in-general do you prefer?,What matters the most when buying a merch? [The club or community releasing the merch],What matters the most when buying a merch? [The merch design and aesthetic],What matters the most when buying a merch? [The merch functionality],What matters the most when buying a merch? [Quality of Item/Material],What matters the most when buying a merch? [Uniqueness (Limited Edition)],What matters the most when buying a merch? [Your requirement for that specific item],What matters the most when buying a merch? [Your budget],Will you buy any merch blindly of a particular IISERM club/community?,Describe your Turing-specific merch design idea.,Describe your in-general merch design idea.,"If you have a design sketch, link to a file, or visual reference(pinterest, etc.), please upload it here.",In what context have you responded to the above questions more or less?,Anything else you consider mentioning or adding?,Data Release & Privacy Consent
392O,MS22,Biology;HSS;Physics;Math,1.0,T-Shirts (Half Sleeve);Stickers;Laptop Sleeve;Coffee Mugs,"Some Historic Figure;Computer or Tech related Logos or Mascots (penguin, arch, etc.);IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche",A coffee mug,,100% Cotton,Preferred,Preferred,Highly Preferred,Preferred,Not Preferred,Preferred,Not Preferred,Preferred,Preferred,M (Medium);L (Large),400 - 600 INR,,Backpack;Laptop Sleeve,"Dark (e.g., Black, Navy Blue, Dark Gray);Light (e.g., White, Light Gray, Beige);Mix and Match (Different colors for different items)","Tea coaster, a pen stand",Nothing in particular ,,,High Priority,Absolutely/Of course,High Priority,Absolutely/Of course,Absolutely/Of course,Low Priority,Maybe/Sometimes,No,,,,In-general,,I agree
1RYP,MS24,Biology;Chemistry,2.0,Hoodies/Sweatshirts;Caps;Stickers;Laptop Bags;Plushies;track suits,"Some Historic Figure;Some Computational Idea;Computer or Tech related Logos or Mascots (penguin, arch, etc.);IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche;Minimalist/Abstract Computational Graphics;Small Club Logo (For the sake of Merch);Funny/Witty Computational Pun","string bag , laptop bag ","plushies
","100% Cotton;Cotton Blend (e.g., 80% Cotton, 20% Polyester);Performance/Quick-Dry Fabric (e.g., Polyester);No strong preference",Preferred,Preferred,Highly Preferred,Not Preferred,Not Preferred,Preferred,Preferred,Preferred,Highly Preferred,L (Large);XL (Extra Large),1000 - 1500 INR,"socks, Aprons/lab coats for science-themed branding,embroidered lab jackets",Backpack;Laptop Sleeve;Handbag (similar to suitcase),"Dark (e.g., Black, Navy Blue, Dark Gray);Light (e.g., White, Light Gray, Beige);Bright/Vibrant (e.g., Royal Blue, Red, Yellow);Club-specific Colors (e.g., specific shades associated with the club);Mix and Match (Different colors for different items)",Magnetic bookmarks Pocket-sized field journals,calculator,lap pillow,lap pillow,Not at all,High Priority,Absolutely/Of course,High Priority,Maybe/Sometimes,Maybe/Sometimes,Absolutely/Of course,No,Oversized back print with tiny front embroidery to keep it wearable rather than loud.,"Earth tones and muted shades:

forest green
stone grey
cream
faded navy
washed brown",,In-general,,I agree
ZFYA,MS24,Chemistry;Physics,2.0,T-Shirts (Half Sleeve);Laptop Sleeve;Coffee Mugs,"Computer or Tech related Logos or Mascots (penguin, arch, etc.);Inside Jokes/IISERM Niche;Funny/Witty Computational Pun",crossbody laptop bag,,"100% Cotton;Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Preferred,Not Preferred,Preferred,Highly Preferred,Highly Preferred,Not Preferred,Preferred,Not Preferred,Not Preferred,L (Large);XL (Extra Large),600 - 800 INR,loose fit or oversized,Cross-body Bag,"Dark (e.g., Black, Navy Blue, Dark Gray);Club-specific Colors (e.g., specific shades associated with the club)",mouse pad,mini music player (digital),otter lying with a small laptop on his belly,,High Priority,High Priority,Absolutely/Of course,High Priority,Maybe/Sometimes,Maybe/Sometimes,Maybe/Sometimes,No,,"some niche CS preference like how to exit vim, how to center div, etc. Catppuccin color scheme maybe? Subtle placement of top and bottom corners.",,Turing-specific,,I agree
SFWW,MS25,EES;Physics,1.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip);Plushies,IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche,Hoodie,"Stationary, plushie",No strong preference,Preferred,Preferred,Highly Preferred,Preferred,Not Preferred,Preferred,Preferred,Preferred,Not Preferred,S (Small),600 - 800 INR,Relaxed fit ,Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray);Club-specific Colors (e.g., specific shades associated with the club);Mix and Match (Different colors for different items)","Diary, pen , case, pen stand ",Not a tech savvy person ,Could be some tech pokemon/creature related,Anything cute would do,Maybe/Sometimes,Absolutely/Of course,Maybe/Sometimes,Absolutely/Of course,Absolutely/Of course,Maybe/Sometimes,Absolutely/Of course,No,,No cheap colours,,In-general,,I agree
WE36,MS25,Physics;Math,2.0,T-Shirts (Half Sleeve);Coffee Mugs,"Some Computational Idea;Computer or Tech related Logos or Mascots (penguin, arch, etc.);IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche;Minimalist/Abstract Computational Graphics",T shirt,,"100% Cotton;Cotton Blend (e.g., 80% Cotton, 20% Polyester);No strong preference",Highly Preferred,Not Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Preferred,Preferred,Highly Preferred,Preferred,L (Large);XL (Extra Large),200 - 400 INR,,Laptop Sleeve,"Dark (e.g., Black, Navy Blue, Dark Gray);Light (e.g., White, Light Gray, Beige);Mix and Match (Different colors for different items)",Pen stand,Laptop stand,,,High Priority,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,High Priority,Absolutely/Of course,No,,,,In-general,,I agree
67CJ,MS25,Physics;Math,3.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip);Laptop Bags;Laptop Sleeve;Plushies,Some Computational Idea;IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche;Minimalist/Abstract Computational Graphics;Small Club Logo (For the sake of Merch),Jacket,Socks ,No strong preference,Not Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Preferred,Preferred,Preferred,Highly Preferred,M (Medium),600 - 800 INR,,Backpack;Laptop Sleeve,"Dark (e.g., Black, Navy Blue, Dark Gray);Bright/Vibrant (e.g., Royal Blue, Red, Yellow);Mix and Match (Different colors for different items)","Not exactly stationary, I'd say a keychain would be great if it made of metal, stationary I personally won't buy and I think that might the case with most others, because I would probably not use it, I prefer to write with only a few pens and pencils ",,,,Absolutely/Of course,Absolutely/Of course,High Priority,High Priority,Absolutely/Of course,Maybe/Sometimes,High Priority,No,,,,In-general,,I agree
MG5J,MS24,Biology,,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip);Caps;Laptop Bags;Coffee Mugs,Some Historic Figure;IISER Mohali Campus (Subtle inclusion);Small Club Logo (For the sake of Merch);Symbol of IISER Mohali in the front of the merch and the name 'IISER Mohali' visible big and clear at the back in any type of clothing section.,T-shirt ,"Any type of merch customized with Name or atleast batch number mentioned, Calendar","100% Cotton;Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Preferred,Preferred,Highly Preferred,Highly Preferred,Preferred,Preferred,Preferred,Preferred,Highly Preferred,M (Medium);L (Large),600 - 800 INR,"Trackpants (relaxed fit), Scarf.",Backpack;Laptop Sleeve,"Dark (e.g., Black, Navy Blue, Dark Gray);Light (e.g., White, Light Gray, Beige);Club-specific Colors (e.g., specific shades associated with the club)","Mouse pad, Pencil bag, Calendar ",Sticker to cover the whole body of the laptop. ,,,Not at all,High Priority,High Priority,High Priority,Absolutely/Of course,Low Priority,Maybe/Sometimes,No,,,,In-general,,I agree
NUZ3,MS24,Physics;Math,1.0,Stickers;Laptop Bags;Rubber Ducks;Plushies;Coffee Mugs,"Some Historic Figure;Some Computational Idea;Computer or Tech related Logos or Mascots (penguin, arch, etc.);Inside Jokes/IISERM Niche;Minimalist/Abstract Computational Graphics;Small Club Logo (For the sake of Merch);Funny/Witty Computational Pun",Laptop Bag,Bust of Julius Caesar with holes in the back that serve as a pen holder,"100% Cotton;Performance/Quick-Dry Fabric (e.g., Polyester)",Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Highly Preferred,Highly Preferred,Preferred,XL (Extra Large),600 - 800 INR,"Socks, programmer thigh highs (you know the ones)",Backpack;Cross-body Bag,"Dark (e.g., Black, Navy Blue, Dark Gray);Club-specific Colors (e.g., specific shades associated with the club)",Pen holders (bonus points if they look like Julius Caesar,Wifi adapter with monitor mode and all that shiz,"Alan Turing (duh), Rei Ayamari, Penguin",,High Priority,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,High Priority,Absolutely/Of course,Absolutely/Of course,No,"""404: Admin not found"", ""I wish the professor's notes were as detailed as Rust compiler errors""",A laptop bag will be nice.,,In-general,,I agree
JY1T,MS23,Biology,2.0,Jackets (Full Zip);Coffee Mugs,IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche,Backpack ,Notepads,100% Cotton,Highly Preferred,Preferred,Preferred,Not Preferred,Not Preferred,Not Preferred,Preferred,Highly Preferred,Highly Preferred,M (Medium),400 - 600 INR,Oversized ,Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray);Mix and Match (Different colors for different items)",,,,,Maybe/Sometimes,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,High Priority,Absolutely/Of course,No,,,,In-general,,I agree
8PHW,MS25,Biology;HSS;Math,2.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Plushies,IISER Mohali Campus (Subtle inclusion);Funny/Witty Computational Pun,t shirt,stationery,"Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Highly Preferred,Preferred,Preferred,Highly Preferred,S (Small);M (Medium),1000 - 1500 INR,Half sleeve shirts relaxed fit,Cross-body Bag,"Bright/Vibrant (e.g., Royal Blue, Red, Yellow);Club-specific Colors (e.g., specific shades associated with the club)","Pen holder, ",alarm clock,,animal,High Priority,Maybe/Sometimes,High Priority,High Priority,Absolutely/Of course,Low Priority,Absolutely/Of course,No,,,,In-general,,I agree
QUVR,MS24,Physics,4.0,Stickers;Laptop Bags;Laptop Sleeve;Rubber Ducks;Plushies,Inside Jokes/IISERM Niche;Minimalist/Abstract Computational Graphics;Funny/Witty Computational Pun,Laptop Bag ,plushie ,100% Cotton,Highly Preferred,Preferred,Not Preferred,Highly Preferred,Preferred,Preferred,Not Preferred,Not Preferred,Not Preferred,XS (Extra Small);S (Small),400 - 600 INR,pyjamas maybe?,Laptop Sleeve;Cross-body Bag,"Light (e.g., White, Light Gray, Beige);Club-specific Colors (e.g., specific shades associated with the club)",memo pads,none ,,"penguin, dog or pandas ",Not at all,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,High Priority,Absolutely/Of course,Absolutely/Of course,No,,,,In-general,,I agree
05CJ,MS25,Physics;Math,,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Caps;Plushies,IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche,Tshirt,Plushie,"100% Cotton;Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Not Preferred,Preferred,Preferred,Preferred,Not Preferred,Preferred,Highly Preferred,Not Preferred,Not Preferred,L (Large),400 - 600 INR,"Caps, sleevless tshirts ",Backpack;Cross-body Bag,"Dark (e.g., Black, Navy Blue, Dark Gray);Club-specific Colors (e.g., specific shades associated with the club);Mix and Match (Different colors for different items)",Diaries? ,Alarm clock,"Frog, penguin",,Maybe/Sometimes,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,Maybe/Sometimes,High Priority,High Priority,No,,,https://drive.google.com/u/5/open?usp=forms_web&id=1Ic7C-OUYX8xN76BE1QOK5sdJvK5JJQCZ,In-general,,I agree
C1PU,MS25,Biology;Chemistry,,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip),Some Historic Figure;IISER Mohali Campus (Subtle inclusion);Minimalist/Abstract Computational Graphics,T shirts ,,"Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Highly Preferred,Not Preferred,Preferred,Not Preferred,Not Preferred,Preferred,Preferred,Preferred,Preferred,L (Large);XL (Extra Large),800 - 1000 INR,,Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray);Light (e.g., White, Light Gray, Beige)",Erasners,Headphones,,Cartoons,Maybe/Sometimes,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,No,,,,In-general,,I agree
FND9,MS25,Biology;Physics;Math,2.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip),"Some Computational Idea;Computer or Tech related Logos or Mascots (penguin, arch, etc.);IISER Mohali Campus (Subtle inclusion);Minimalist/Abstract Computational Graphics;Small Club Logo (For the sake of Merch)",hoddie,,"100% Cotton;Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Preferred,Not Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Not Preferred,M (Medium);L (Large),600 - 800 INR,,Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray)",pen,cant think of anything🙂,,,Maybe/Sometimes,Maybe/Sometimes,Low Priority,Maybe/Sometimes,Low Priority,Maybe/Sometimes,Maybe/Sometimes,No,,,,In-general,,I agree
GBZG,MS25,EES;Physics;Math,0.0,Hoodies/Sweatshirts;Jackets (Full Zip);Caps,"Computer or Tech related Logos or Mascots (penguin, arch, etc.);IISER Mohali Campus (Subtle inclusion);Minimalist/Abstract Computational Graphics",A hat or jacket,,100% Cotton,Preferred,Not Preferred,Highly Preferred,Preferred,Not Preferred,Preferred,Not Preferred,Preferred,Preferred,M (Medium);L (Large),400 - 600 INR,"Hats, mufflers, keychains",Backpack;Laptop Sleeve,"Dark (e.g., Black, Navy Blue, Dark Gray);Bright/Vibrant (e.g., Royal Blue, Red, Yellow);Mix and Match (Different colors for different items)","Pens, diaries",Pendrives,A penguin homding something,Any soft toy animal ,Low Priority,High Priority,Absolutely/Of course,High Priority,Maybe/Sometimes,Absolutely/Of course,Absolutely/Of course,No,A pendrive or muffler with unique design,,,In-general,,I agree
GEND,MS25,Biology,,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip),"Some Historic Figure;Some Computational Idea;Computer or Tech related Logos or Mascots (penguin, arch, etc.);IISER Mohali Campus (Subtle inclusion);Funny/Witty Computational Pun",Club merch hoodie,,"100% Cotton;Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Preferred,Highly Preferred,Preferred,Preferred,Not Preferred,Preferred,Highly Preferred,Preferred,Preferred,M (Medium);L (Large),400 - 600 INR,,Backpack;Laptop Sleeve;Cross-body Bag,"Dark (e.g., Black, Navy Blue, Dark Gray);Bright/Vibrant (e.g., Royal Blue, Red, Yellow);Mix and Match (Different colors for different items)","Table lamp/night lights, bookmarks, bookholders",Easiest would be pendrives,,,Absolutely/Of course,High Priority,Absolutely/Of course,Absolutely/Of course,Not at all,Maybe/Sometimes,High Priority,No,,,,In-general,,I agree
1RI7,MS25,,2.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Caps;Stickers;Laptop Sleeve;Rubber Ducks,Some Computational Idea;IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche;Minimalist/Abstract Computational Graphics;Small Club Logo (For the sake of Merch);Funny/Witty Computational Pun,Hoodie,Keychain/Laptop sleeve/Labcoat,No strong preference,Preferred,Preferred,Not Preferred,Highly Preferred,Not Preferred,Preferred,Highly Preferred,Preferred,Preferred,M (Medium);L (Large),800 - 1000 INR,please keep relaxed fit for tshirts and hoodies 🙏,Backpack;Laptop Sleeve;Cross-body Bag,"Club-specific Colors (e.g., specific shades associated with the club);Honestly anything is fine as long as it goes with the design",desk organiser?,"Reading light, the kind that clips on to the book",Anything that doesn't have a very weird shape and is mostly cyclinderical.. I want to hug without it's hands poking me man,,High Priority,Absolutely/Of course,High Priority,Maybe/Sometimes,Maybe/Sometimes,High Priority,Maybe/Sometimes,No,coding 10% debugging 90% ; rubber duckiee coding smth funny like attached below ; maybe embroidered duck?,"small club logo in the front, graphic design in back",https://drive.google.com/u/5/open?usp=forms_web&id=1J5cnQFw40htlWEXVN8qpxdVu8TvjeqBe,"honestly both, depends on the question",consider changing ur logo,I agree
XFNN,MS25,Chemistry,1.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts,IISER Mohali Campus (Subtle inclusion),Hoddie ,I don't think so,No strong preference,Preferred,Not Preferred,Preferred,Preferred,Not Preferred,Not Preferred,Not Preferred,Preferred,Not Preferred,S (Small),200 - 400 INR,Baggy fit ,Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray);Light (e.g., White, Light Gray, Beige)",Stapler markers ,"Headphones, mobile phone cover",.,.,Not at all,Absolutely/Of course,Absolutely/Of course,High Priority,Absolutely/Of course,High Priority,Absolutely/Of course,No,No ideas as such ,No ideas as such ,,In-general,,I agree
GIOV,MS25,Biology;Physics,,T-Shirts (Half Sleeve);Jackets (Full Zip);Stickers;Laptop Bags;Coffee Mugs,"Some Computational Idea;Computer or Tech related Logos or Mascots (penguin, arch, etc.);IISER Mohali Campus (Subtle inclusion)",Jacket,,"Cotton Blend (e.g., 80% Cotton, 20% Polyester);Performance/Quick-Dry Fabric (e.g., Polyester)",Preferred,Highly Preferred,Not Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Not Preferred,M (Medium),600 - 800 INR,,Cross-body Bag,"Dark (e.g., Black, Navy Blue, Dark Gray);Club-specific Colors (e.g., specific shades associated with the club);Mix and Match (Different colors for different items)",Pen stand ,Mouse/keyboard ,,,Low Priority,Absolutely/Of course,Absolutely/Of course,High Priority,High Priority,High Priority,Absolutely/Of course,No,,,,In-general,,I agree
FRL4,MS25,Physics;Math,2.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Coffee Mugs,"Computer or Tech related Logos or Mascots (penguin, arch, etc.);IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche;Funny/Witty Computational Pun",T shirt ,,100% Cotton,Not Preferred,Preferred,Highly Preferred,Preferred,Highly Preferred,Highly Preferred,Not Preferred,Preferred,Not Preferred,M (Medium),600 - 800 INR,,Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray)",Diary,Laptop cover,,,Maybe/Sometimes,Absolutely/Of course,High Priority,Absolutely/Of course,Not at all,High Priority,High Priority,No,,,,In-general,,I agree
IYGD,MS25,Biology;HSS;Math,1.0,Hoodies/Sweatshirts;Caps;Stickers;Laptop Bags;Plushies;Coffee Mugs;Bookmarks,Some Historic Figure;Some Computational Idea;IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche;Minimalist/Abstract Computational Graphics;Small Club Logo (For the sake of Merch);Funny/Witty Computational Pun,T shirt,,"100% Cotton;Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Preferred,Preferred,Highly Preferred,Preferred,Preferred,Highly Preferred,Highly Preferred,Preferred,Preferred,L (Large);XL (Extra Large),400 - 600 INR,"Cap, baggy fit preferred for clothing",Backpack;Laptop Sleeve;Cross-body Bag,"Dark (e.g., Black, Navy Blue, Dark Gray);Light (e.g., White, Light Gray, Beige);Club-specific Colors (e.g., specific shades associated with the club);Mix and Match (Different colors for different items)","Pen holder, diary/notebook, calendar planner","Small torchlight, pendrive",,Teddy bear :)) ,Maybe/Sometimes,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,High Priority,Absolutely/Of course,Absolutely/Of course,No,"Color scheme of the club, any mascot design ",,,In-general,,I agree
DA9K,MS25,Physics;Math,2.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts,"Computer or Tech related Logos or Mascots (penguin, arch, etc.)",Hoddie ,,No strong preference,Preferred,Not Preferred,Preferred,Preferred,Not Preferred,Not Preferred,Highly Preferred,Highly Preferred,Preferred,M (Medium),400 - 600 INR,Loose fit ,Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray)",Lamp,Nothing ,,,Not at all,High Priority,High Priority,Absolutely/Of course,Not at all,Low Priority,Low Priority,No,,,,In-general,,I agree
H037,MS25,Biology;Physics;Math,,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Coffee Mugs,"Some Computational Idea;Computer or Tech related Logos or Mascots (penguin, arch, etc.);Inside Jokes/IISERM Niche;Minimalist/Abstract Computational Graphics;Small Club Logo (For the sake of Merch)",Hoodie,Keychain? Or a cardigan maybe,"100% Cotton;Performance/Quick-Dry Fabric (e.g., Polyester)",Preferred,Preferred,Preferred,Preferred,Not Preferred,Not Preferred,Preferred,Preferred,Not Preferred,M (Medium);L (Large),400 - 600 INR,"Loose fit and baggy, maybe ",Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray);Light (e.g., White, Light Gray, Beige)",An alarm or an calendar,Cable organiser ??,,,Maybe/Sometimes,Absolutely/Of course,Absolutely/Of course,Absolutely/Of course,Maybe/Sometimes,Low Priority,Absolutely/Of course,Yes,,,,In-general,,I agree
D274,PhD,HSS,2.0,Hoodies/Sweatshirts;Laptop Bags;Laptop Sleeve;Coffee Mugs,Some Historic Figure;Some Computational Idea;IISER Mohali Campus (Subtle inclusion);Funny/Witty Computational Pun,Hoodie,"Keychain with logo, can give different hostels an unique identity.","100% Cotton;Performance/Quick-Dry Fabric (e.g., Polyester)",Highly Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,M (Medium),1000 - 1500 INR,,Cross-body Bag;Handbag (similar to suitcase),"Dark (e.g., Black, Navy Blue, Dark Gray);Bright/Vibrant (e.g., Royal Blue, Red, Yellow);Club-specific Colors (e.g., specific shades associated with the club);Mix and Match (Different colors for different items)","Pen holder ,logos ",Adapters ,,,Maybe/Sometimes,High Priority,High Priority,High Priority,High Priority,High Priority,Maybe/Sometimes,No,,,,In-general,,I agree
BOCC,MS21,Physics,0.0,T-Shirts (Half Sleeve);Plushies;Coffee Mugs,"Computer or Tech related Logos or Mascots (penguin, arch, etc.);Minimalist/Abstract Computational Graphics;Small Club Logo (For the sake of Merch);A linux penguin would make it really cute",Coffee mug,Coffee mug,No strong preference,Highly Preferred,Not Preferred,Not Preferred,Highly Preferred,Not Preferred,Preferred,Highly Preferred,Preferred,Not Preferred,XS (Extra Small);S (Small),400 - 600 INR,,Backpack,"Dark (e.g., Black, Navy Blue, Dark Gray)",A pen holder,Mouse,Linux Penguin ,"Penguin ,capybara and unicorn",Maybe/Sometimes,High Priority,High Priority,High Priority,Low Priority,Maybe/Sometimes,Maybe/Sometimes,No,"Minimalist, dark colours, cute and linux penguin as a must ",,,Turing-specific,,I agree
55TI,MS25,Biology;Chemistry;HSS,4.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip);Laptop Bags,Some Historic Figure;Some Computational Idea;IISER Mohali Campus (Subtle inclusion);Inside Jokes/IISERM Niche;Minimalist/Abstract Computational Graphics,Jacket ,,"Cotton Blend (e.g., 80% Cotton, 20% Polyester)",Preferred,Not Preferred,Preferred,Preferred,Not Preferred,Preferred,Preferred,Highly Preferred,Not Preferred,L (Large),600 - 800 INR,,Backpack;Cross-body Bag,"Dark (e.g., Black, Navy Blue, Dark Gray);Club-specific Colors (e.g., specific shades associated with the club);Mix and Match (Different colors for different items)",Pens,Lamp,,,Maybe/Sometimes,High Priority,High Priority,High Priority,Maybe/Sometimes,Maybe/Sometimes,High Priority,No,,,,In-general,,I agree
7P7E,MS24,HSS;Physics;Math,1.0,T-Shirts (Half Sleeve);Hoodies/Sweatshirts;Jackets (Full Zip);Caps;Rubber Ducks;Plushies,Some Computational Idea;IISER Mohali Campus (Subtle inclusion);Minimalist/Abstract Computational Graphics;Small Club Logo (For the sake of Merch),cap,jackets,100% Cotton,Highly Preferred,Preferred,Highly Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,Not Preferred,M (Medium);L (Large),200 - 400 INR,,Backpack;Cross-body Bag;Handbag (similar to suitcase),"Dark (e.g., Black, Navy Blue, Dark Gray);Club-specific Colors (e.g., specific shades associated with the club)",paper weight,"small tech bag which can include earphones, chargers, pendrives, etc.",penguin,baymax,Low Priority,Absolutely/Of course,Maybe/Sometimes,High Priority,Low Priority,High Priority,High Priority,No,,,,In-general,,I agree
